iter	Passed	Remaining
403	10667	2534
404	10695	2508
405	10723	2482
406	10750	2456
407	10846	2445
408	10887	2422
409	10943	2402
410	10968	2375
411	10999	2349
412	11022	2321
413	11044	2294
414	11077	2268
415	11100	2241
416	11122	2213
417	11143	2186
418	11180	2161
419	11206	2134
420	11231	2107
421	11257	2080
422	11284	2054
423	11308	2026
424	11330	1999
425	11353	1972
426	11375	1944
427	11397	1917
428	11429	1891
429	11452	1864
430	11474	1836
431	11495	1809
432	11518	1782
433	11545	1755
434	11574	1729
435	11601	1702
436	11627	1676
437	11654	1649
438	11678	1622
439	11702	1595
440	11727	1569
441	11751	1542
442	11792	1517
443	11824	1491
444	11848	1464
445	11870	1437
446	11899	1410
447	11922	1383
448	11955	1357
449	11983	1331
450	12004	1304
451	12026	1277
452	12048	1250
453	12072	1223
454	12101	1196
455	12124	1169
456	12151	1143
457	12176	1116
458	12199	1089
459	12222	1062
460	12245	1035
461	12268	1009
462	12291	982
463	12312	955
464	12334	928
465	12355	901
466	12376	874
467	12398	847
468	12420	820
469	12441	794
470	12463	767
471	12484	740
472	12509	714
473	12531	687
474	12552	660
475	12574	633
476	12595	607
477	12616	580
478	12637	554
479	12659	527
480	12681	500
481	12702	474
482	12723	447
483	12751	421
484	12780	395
485	12803	368
486	12824	342
487	12845	315
488	12869	289
489	12889	263
490	12911	236
491	12933	210
492	12961	184
493	12988	157
494	13010	131
495	13031	105
496	13051	78
497	13073	52
498	13102	26
499	13123	0
