iter	RMSE
352	1.170482113
353	1.170479351
354	1.170468067
355	1.17012507
356	1.170102101
357	1.170069311
358	1.169940085
359	1.169869101
360	1.169643541
361	1.169623707
362	1.169601975
363	1.1695026
364	1.169260027
365	1.168942824
366	1.168732355
367	1.168731355
368	1.16870292
369	1.168683216
370	1.168581874
371	1.168554842
372	1.168546984
373	1.168307187
374	1.168079406
375	1.167966741
376	1.16788328
377	1.167729326
378	1.167721953
379	1.167522897
380	1.167477769
381	1.1674538
382	1.167426579
383	1.167232232
384	1.167158622
385	1.167107909
386	1.167074968
387	1.166962546
388	1.16693811
389	1.166869125
390	1.166796223
391	1.166746087
392	1.166725112
393	1.166646869
394	1.166584696
395	1.166551921
396	1.166514389
397	1.166459399
398	1.166407175
399	1.166199383
400	1.166179164
401	1.165850005
402	1.165849758
403	1.165798247
404	1.165589709
405	1.165537858
406	1.165517044
407	1.165515871
408	1.165497177
409	1.165477389
410	1.165438388
411	1.165386942
412	1.165335089
413	1.16504145
414	1.164935647
415	1.164889872
416	1.164868739
417	1.164829882
418	1.164633215
419	1.164585236
420	1.16453967
421	1.164495552
422	1.164308988
423	1.16427904
424	1.163860296
425	1.163587018
426	1.163409291
427	1.163402659
428	1.163086964
429	1.162991759
430	1.16297245
431	1.162938571
432	1.162918845
433	1.162900294
434	1.162861813
435	1.162759499
436	1.162706847
437	1.162449076
438	1.162412293
439	1.162364785
440	1.162264477
441	1.162246706
442	1.162237151
443	1.162135477
444	1.162134392
445	1.16210946
446	1.162092711
447	1.162076202
448	1.162037322
449	1.162003339
450	1.162001936
451	1.161977822
452	1.161889221
453	1.161866368
454	1.161837921
455	1.161829277
456	1.161527637
457	1.161283355
458	1.161225638
459	1.161141494
460	1.161112564
461	1.161040612
462	1.160807709
463	1.160792076
464	1.160505682
465	1.160457961
466	1.160416167
467	1.160372581
468	1.16036746
469	1.160201738
470	1.160201447
471	1.160186715
472	1.160029303
473	1.160015336
474	1.159947102
475	1.159907956
476	1.159867807
477	1.159862903
478	1.159823913
479	1.159768633
480	1.159731774
481	1.159731475
482	1.159689937
483	1.159512673
484	1.159473115
485	1.159253234
486	1.159203296
487	1.159202294
488	1.159165155
489	1.159116604
490	1.159109914
491	1.158838525
492	1.158804752
493	1.158547973
494	1.158304066
495	1.158266304
496	1.158214087
497	1.158163947
498	1.158130802
499	1.158093753
